time_step,building_id,charger_id,connected_ev,connected_ev_soc,action,constraint_violations
4933,2,charger_10_1,,,-0.02,['Discharge During Idle']
4933,3,charger_12_1,,,-0.02,['Discharge During Idle']
4933,4,charger_15_1,,,-0.02,['Discharge During Idle']
4934,1,charger_1_1,,,-0.02,['Discharge During Idle']
4934,2,charger_10_1,,,-0.02,['Discharge During Idle']
4934,3,charger_12_1,,,-0.02,['Discharge During Idle']
4934,4,charger_15_1,,,-0.02,['Discharge During Idle']
4935,1,charger_1_1,,,-0.02,['Discharge During Idle']
4935,2,charger_10_1,,,-0.02,['Discharge During Idle']
4935,3,charger_12_1,,,-0.02,['Discharge During Idle']
4935,4,charger_15_1,,,-0.02,['Discharge During Idle']
4936,1,charger_1_1,,,-0.0044,['Discharge During Idle']
4936,2,charger_10_1,,,-0.0044,['Discharge During Idle']
4936,3,charger_12_1,,,-0.0044,['Discharge During Idle']
4936,4,charger_15_1,,,-0.0044,['Discharge During Idle']
4937,1,charger_1_1,,,-0.0044,['Discharge During Idle']
4937,2,charger_10_1,,,-0.0044,['Discharge During Idle']
4937,3,charger_12_1,,,-0.0044,['Discharge During Idle']
4937,4,charger_15_1,,,-0.0044,['Discharge During Idle']
4938,1,charger_1_1,,,-0.0044,['Discharge During Idle']
4938,2,charger_10_1,,,-0.0044,['Discharge During Idle']
4938,3,charger_12_1,EV_4,17.903936739392687,-0.0044,['Charging Power Violation']
4938,4,charger_15_1,,,-0.0044,['Discharge During Idle']
4939,1,charger_1_1,,,-0.024,['Discharge During Idle']
4939,2,charger_10_1,,,-0.024,['Discharge During Idle']
4939,3,charger_12_1,EV_4,18.904568023655642,-0.024,['Charging Power Violation']
4939,4,charger_15_1,,,-0.024,['Discharge During Idle']
4940,1,charger_1_1,,,-0.024,['Discharge During Idle']
4940,2,charger_10_1,,,-0.024,['Discharge During Idle']
4940,3,charger_12_1,EV_4,18.605946356059103,-0.024,['Charging Power Violation']
4940,4,charger_15_1,,,-0.024,['Discharge During Idle']
4941,1,charger_1_1,,,-0.024,['Discharge During Idle']
4941,2,charger_10_1,EV_3,46.936432875238744,-0.024,['Charging Power Violation']
4941,3,charger_12_1,EV_4,18.309116418468143,-0.024,['Charging Power Violation']
4941,4,charger_15_1,,,-0.024,['Discharge During Idle']
4942,1,charger_1_1,,,-0.024,['Discharge During Idle']
4942,2,charger_10_1,EV_3,24.7431817124492,-0.024,['Charging Power Violation']
4942,3,charger_12_1,EV_4,18.01406746050273,-0.024,['Charging Power Violation']
4942,4,charger_15_1,,,-0.024,['Discharge During Idle']
4943,1,charger_1_1,,,0.034,['Charging with No EV Connected']
4943,2,charger_10_1,EV_3,24.4095283627199,0.034,[]
4943,3,charger_12_1,EV_4,17.72078879628511,0.034,[]
4943,4,charger_15_1,,,0.034,['Charging with No EV Connected']
4944,1,charger_1_1,,,0.034,['Charging with No EV Connected']
4944,2,charger_10_1,EV_3,24.48082877595229,0.034,[]
4944,3,charger_12_1,EV_4,17.832221646916107,0.034,[]
4944,4,charger_15_1,,,0.034,['Charging with No EV Connected']
4945,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4945,2,charger_10_1,EV_3,24.551701386705286,0.05532,[]
4945,3,charger_12_1,EV_4,17.94298590044332,0.05532,[]
4945,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4946,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4946,2,charger_10_1,EV_3,24.758695575860635,0.05532,[]
4946,3,charger_12_1,EV_4,18.189632382516237,0.05532,[]
4946,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4947,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4947,2,charger_10_1,EV_3,24.96444779988105,0.05532,[]
4947,3,charger_12_1,EV_4,18.434798985696716,0.05532,[]
4947,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4948,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4948,2,charger_10_1,EV_3,25.168965510557342,0.05532,[]
4948,3,charger_12_1,EV_4,18.678494589258115,0.05532,[]
4948,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4949,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4949,2,charger_10_1,EV_3,25.372256114969574,0.05532,[]
4949,3,charger_12_1,EV_4,18.920728019198144,0.05532,[]
4949,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4950,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4950,2,charger_10_1,EV_3,25.574326975755334,0.05532,[]
4950,3,charger_12_1,EV_4,19.16150804855853,0.05532,[]
4950,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4951,1,charger_1_1,,,-0.02,['Discharge During Idle']
4951,2,charger_10_1,EV_3,25.775185411376377,-0.02,['Charging Power Violation']
4951,3,charger_12_1,EV_4,19.40084339774276,-0.02,['Charging Power Violation']
4951,4,charger_15_1,,,-0.02,['Discharge During Idle']
4952,1,charger_1_1,,,-0.02,['Discharge During Idle']
4952,2,charger_10_1,,,-0.02,['Discharge During Idle']
4952,3,charger_12_1,,,-0.02,['Discharge During Idle']
4952,4,charger_15_1,,,-0.02,['Discharge During Idle']
4953,1,charger_1_1,,,-0.02,['Discharge During Idle']
4953,2,charger_10_1,,,-0.02,['Discharge During Idle']
4953,3,charger_12_1,,,-0.02,['Discharge During Idle']
4953,4,charger_15_1,,,-0.02,['Discharge During Idle']
4954,1,charger_1_1,,,-0.02,['Discharge During Idle']
4954,2,charger_10_1,,,-0.02,['Discharge During Idle']
4954,3,charger_12_1,,,-0.02,['Discharge During Idle']
4954,4,charger_15_1,,,-0.02,['Discharge During Idle']
4955,1,charger_1_1,,,-0.02,['Discharge During Idle']
4955,2,charger_10_1,,,-0.02,['Discharge During Idle']
4955,3,charger_12_1,,,-0.02,['Discharge During Idle']
4955,4,charger_15_1,,,-0.02,['Discharge During Idle']
4956,1,charger_1_1,,,-0.02,['Discharge During Idle']
4956,2,charger_10_1,,,-0.02,['Discharge During Idle']
4956,3,charger_12_1,,,-0.02,['Discharge During Idle']
4956,4,charger_15_1,,,-0.02,['Discharge During Idle']
4957,1,charger_1_1,,,-0.02,['Discharge During Idle']
4957,2,charger_10_1,,,-0.02,['Discharge During Idle']
4957,3,charger_12_1,,,-0.02,['Discharge During Idle']
4957,4,charger_15_1,,,-0.02,['Discharge During Idle']
4958,1,charger_1_1,,,-0.02,['Discharge During Idle']
4958,2,charger_10_1,,,-0.02,['Discharge During Idle']
4958,3,charger_12_1,,,-0.02,['Discharge During Idle']
4958,4,charger_15_1,,,-0.02,['Discharge During Idle']
4959,1,charger_1_1,,,-0.02,['Discharge During Idle']
4959,2,charger_10_1,,,-0.02,['Discharge During Idle']
4959,3,charger_12_1,,,-0.02,['Discharge During Idle']
4959,4,charger_15_1,,,-0.02,['Discharge During Idle']
4960,1,charger_1_1,,,-0.0044,['Discharge During Idle']
4960,2,charger_10_1,,,-0.0044,['Discharge During Idle']
4960,3,charger_12_1,,,-0.0044,['Discharge During Idle']
4960,4,charger_15_1,,,-0.0044,['Discharge During Idle']
4961,1,charger_1_1,,,-0.0044,['Discharge During Idle']
4961,2,charger_10_1,,,-0.0044,['Discharge During Idle']
4961,3,charger_12_1,,,-0.0044,['Discharge During Idle']
4961,4,charger_15_1,,,-0.0044,['Discharge During Idle']
4962,1,charger_1_1,,,-0.0044,['Discharge During Idle']
4962,2,charger_10_1,EV_3,21.44151621320362,-0.0044,['Charging Power Violation']
4962,3,charger_12_1,EV_4,19.440371013868845,-0.0044,['Charging Power Violation']
4962,4,charger_15_1,,,-0.0044,['Discharge During Idle']
4963,1,charger_1_1,,,-0.024,['Discharge During Idle']
4963,2,charger_10_1,EV_3,29.951775149944723,-0.024,['Charging Power Violation']
4963,3,charger_12_1,EV_4,17.115414043384636,-0.024,['Charging Power Violation']
4963,4,charger_15_1,,,-0.024,['Discharge During Idle']
4964,1,charger_1_1,,,-0.024,['Discharge During Idle']
4964,2,charger_10_1,EV_3,29.58687023959045,-0.024,['Charging Power Violation']
4964,3,charger_12_1,EV_4,16.827527299669722,-0.024,['Charging Power Violation']
4964,4,charger_15_1,,,-0.024,['Discharge During Idle']
4965,1,charger_1_1,,,-0.024,['Discharge During Idle']
4965,2,charger_10_1,EV_3,29.2241547586983,-0.024,['Charging Power Violation']
4965,3,charger_12_1,EV_4,16.541367876417098,-0.024,['Charging Power Violation']
4965,4,charger_15_1,,,-0.024,['Discharge During Idle']
4966,1,charger_1_1,,,-0.024,['Discharge During Idle']
4966,2,charger_10_1,EV_3,28.863615570691508,-0.024,['Charging Power Violation']
4966,3,charger_12_1,EV_4,16.256925409703992,-0.024,['Charging Power Violation']
4966,4,charger_15_1,,,-0.024,['Discharge During Idle']
4967,1,charger_1_1,,,0.034,['Charging with No EV Connected']
4967,2,charger_10_1,EV_3,28.505239617812755,0.034,[]
4967,3,charger_12_1,EV_4,15.974189597791161,0.034,[]
4967,4,charger_15_1,,,0.034,['Charging with No EV Connected']
4968,1,charger_1_1,,,0.034,['Charging with No EV Connected']
4968,2,charger_10_1,EV_3,28.551965763514588,0.034,[]
4968,3,charger_12_1,EV_4,16.096102043613122,0.034,[]
4968,4,charger_15_1,,,0.034,['Charging with No EV Connected']
4969,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4969,2,charger_10_1,EV_3,28.59841155234221,0.05532,[]
4969,3,charger_12_1,EV_4,16.217283014760152,0.05532,[]
4969,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4970,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4970,2,charger_10_1,EV_3,28.781125480503732,0.05532,[]
4970,3,charger_12_1,EV_4,16.47428371414717,0.05532,[]
